block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410738551,136,3.9434336721238007e-07,25598035397.664722,0.0,,,,
410738551,160,6.561622201687568e-08,4259349880.086635,0.0,,,,
410738552,28,2.537150454692952e-07,16469420446.332388,0.0,,,,
410738553,34,1.3964425449112413e-07,9064736132.912125,0.0,,,,
410738553,49,2.5457566145868473e-07,16525285665.306198,0.0,,,,
410738553,75,3.8411063848667935e-07,24933797644.696213,0.0,,,,
410738553,119,7.0525968980425284e-09,457805658.854468,0.0,,,,
410738559,54,8.969810325504925e-07,58225785270.772316,0.0,,,,
410738563,10,8.969377207778479e-07,58222973770.99452,0.0,,,,
410738573,46,8.96891223773676e-07,58219955508.0855,0.0,,,,
410738592,4,7.584948834272083e-07,49236225303.26588,0.0,,,,
410738607,10,7.090601920878974e-07,46027268125.35855,0.0,,,,
410738609,31,1.1854401051463366e-06,76891886432.25812,0.0,,,,
410738611,13,1.4569923645570995e-06,94505737524.6825,0.0,,,,
410738611,48,1.0370991207475457e-06,67269959456.67873,0.0,,,,
410738612,75,7.426547437746327e-07,48171243716.81992,0.0,,,,
410738612,91,2.740236409870716e-07,17774153743.457813,0.0,,,,
410738613,22,4.341375531253192e-09,281597149.328516,0.0005004921379752959,,,,
410738615,19,7.550928831815646e-07,48978025939.35012,0.0,,,,
410738649,3,6.471282851585676e-07,41975055840.86176,0.0,,,,
410738649,14,5.938208380241699e-09,385173440.9882,0.0005005811802981626,,,,
410738676,9,7.412871776408658e-07,48082538484.5693,0.0,,,,
410738716,45,6.431489840077649e-07,41716944131.262146,0.0,,,,
410738716,88,3.068158446524719e-09,199011733.956166,0.0005004211881109136,,,,
410738718,65,1.9328730338812036e-06,125373060320.76672,0.0,,,,
410738860,35,8.323685036926837e-07,54329522334.70114,0.0,,,,
410738861,31,5.176502813724966e-07,33787550103.859825,0.0,,,,
410738868,32,7.00933269785837e-07,45750613540.78414,0.0,,,,
410738873,8,5.14959502942164e-09,336119203.122712,0.0005005373007806152,,,,
410738874,12,5.145842179580672e-09,335874250.870976,0.0005005370914146215,,,,
410738896,3,8.978615853189801e-07,58604321086.935036,0.0,,,,
410738899,14,6.516572209627242e-07,42534316692.423874,0.0,,,,
410738902,17,2.5119632216391356e-06,163958344589.6198,0.0,,,,
410738902,58,4.486147277382704e-07,29281530670.856483,0.0,,,,
410738903,2,6.082063282204082e-07,39698233590.72841,0.0,,,,
410738905,66,6.791334860206038e-07,44327719914.09044,0.0,,,,
410738907,63,8.701580409290621e-07,56796083116.60677,0.0,,,,
410738909,22,7.47733323378526e-07,48543403205.04517,0.0,,,,
410738917,11,1.46726162487233e-06,95255715422.23549,0.0,,,,
410738924,43,8.957631048590846e-07,58153606661.40199,0.0,,,,
410738927,30,2.4980703802973945e-06,162176586108.85382,0.0,,,,
410738928,80,7.64465380175631e-09,496296607.70619,0.0005006767338013352,,,,
410738928,103,1.0017575678434528e-06,65034845992.69724,0.0,,,,
410738928,106,3.126028332619793e-07,20294408318.610947,0.0,,,,
410738929,4,5.72711680831286e-09,371808680.629823,0.0005005697492486917,,,,
410738929,29,4.470207934885635e-08,2902092222.038016,0.0005028255387408998,,,,
410738933,11,6.05357816304779e-09,393002794.46463,0.0005005879677539017,,,,
410738936,5,5.224757968138484e-08,3391951712.813056,0.0005032084793161839,,,,
410739058,8,1.507735123597939e-08,978832850.467626,0.0005012047707471236,,,,
410739099,40,6.781563391346611e-07,44026413665.672714,0.0005381042906654743,,,,
410739117,43,7.548015025761023e-07,49002274652.90729,0.0005423729450844021,,,,
410739118,29,6.008415053553063e-07,39007077182.28007,0.0005337828174031869,,,,
410739121,22,6.18064785238766e-07,40125225315.786316,0.0005347435858150001,,,,
