z_cap_quantile,z_cap,p99_cost_eff,total_cost_eff,notional_exec_frac
0.5,7.629469238420937e-07,31794996.450852834,17795148952.63897,0.7026637821428624
0.535,8.049504746138936e-07,33545449.471866656,18435790489.279766,0.7270912272400126
0.57,8.469224205473783e-07,35294585.395071104,19020128996.866646,0.7490732255561179
0.605,8.68444620001924e-07,36191500.02161655,19290303898.26453,0.7592664912007362
0.64,8.957308159762562e-07,37328623.03378132,19596770409.963898,0.7709499857517516
0.675,9.010684677549369e-07,37551063.95864199,19639723453.415474,0.7726072798274287
0.71,9.030353497720035e-07,37633031.66150258,19655160594.515457,0.7732045905288378
0.745,9.163757655193147e-07,38188979.20920701,19757705607.26619,0.7771755713855515
0.78,1.0250348866264516e-06,42717231.780901305,20499850231.416885,0.8054610521626843
0.815,1.1447288319200968e-06,47705348.83973314,21190412512.161705,0.831600585077647
0.85,1.4033828914424837e-06,58484479.92672742,22392055284.772102,0.8758967369113035
0.885,1.6671941045850945e-06,69478529.87102015,23255025033.91398,0.9080145463480367
0.9199999999999999,1.916973430993477e-06,79887815.95432656,23816674317.158577,0.9288882696640016
0.955,2.5587599200333628e-06,104416855.98596062,24743402840.974815,0.9624330096156725
0.99,3.623461772687532e-06,104431194.00847077,25164766363.32888,0.9767062390811826
