z_quantile,z_th,p99_cost_usdc,total_cost_usdc,exec_rate
0.5,7.629469238420937e-07,26272727.213235028,5518372534.158861,0.534
0.535,8.049504746138936e-07,27850193.703109886,6677245521.525214,0.5795
0.57,8.469224205473783e-07,29533117.471253365,7876461083.707865,0.6245
0.605,8.68444620001924e-07,30472379.43057439,8943970536.93739,0.653
0.64,8.957308159762562e-07,32093014.913159218,11921272033.110256,0.7495
0.675,9.010684677549369e-07,32178435.335360527,12531564350.666143,0.7675
0.71,9.030353497720035e-07,32178376.99277676,12595664771.095703,0.7685
0.745,9.163757655193147e-07,32243010.58385563,12725549560.079239,0.7775
0.78,1.0250348866264516e-06,35779419.65413773,14361644674.281597,0.8225
0.815,1.1447288319200968e-06,36479927.22213706,14915476589.59095,0.846
0.85,1.4033828914424837e-06,47215812.43162052,16973790227.34418,0.8895
0.885,1.6671941045850945e-06,57329567.499782406,18969667487.54401,0.925
0.9199999999999999,1.916973430993477e-06,64031603.51473033,20307984689.155937,0.947
0.955,2.5587599200333628e-06,78955641.34745134,22444942379.423733,0.981
0.99,3.623461772687532e-06,102700379.4095384,24049210136.86705,0.9925
